2018-02-05 17:21:05.123 [restartedMain] INFO  org.springframework.context.annotation.AnnotationConfigApplicationContext [AbstractApplicationContext.java:583] - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1cc8c9f0: startup date [Mon Feb 05 17:21:05 CST 2018]; root of context hierarchy
2018-02-05 17:21:13.273 [restartedMain] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver [ConfigClusterResolver.java:43] - Resolving eureka endpoints via configuration
2018-02-05 17:21:13.937 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:929] - Disable delta property : false
2018-02-05 17:21:13.937 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:930] - Single vip registry refresh property : null
2018-02-05 17:21:13.938 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:931] - Force full registry fetch : false
2018-02-05 17:21:13.939 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:932] - Application is null : false
2018-02-05 17:21:13.940 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:933] - Registered Applications size is zero : true
2018-02-05 17:21:13.946 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:935] - Application version is -1: true
2018-02-05 17:21:13.946 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:1018] - Getting all instance registry info from the eureka server
2018-02-05 17:21:14.317 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:1027] - The response status is 200
2018-02-05 17:21:14.319 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:1300] - Not registering with Eureka server per configuration
2018-02-05 17:21:14.328 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:434] - Discovery Client initialized at timestamp 1517822474328 with initial instances count: 1
2018-02-05 17:21:16.940 [restartedMain] INFO  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator [ConfigServicePropertySourceLocator.java:82] - Fetching config from server at: http://192.168.221.1:2005/
2018-02-05 17:21:24.462 [restartedMain] INFO  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator [ConfigServicePropertySourceLocator.java:96] - Located environment: name=blog, profiles=[dev], label=master, version=ec35a2a04249fdb9aa5a5b950a51937e6ba7ea03, state=null
2018-02-05 17:21:24.463 [restartedMain] INFO  org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration [PropertySourceBootstrapConfiguration.java:98] - Located property source: CompositePropertySource [name='configService', propertySources=[MapPropertySource {name='configClient'}]]
2018-02-05 17:21:24.811 [restartedMain] INFO  com.google.blog.BlogApplication [SpringApplication.java:597] - The following profiles are active: dev
2018-02-05 17:21:24.849 [restartedMain] INFO  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext [AbstractApplicationContext.java:583] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@31084ab9: startup date [Mon Feb 05 17:21:24 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@1cc8c9f0
2018-02-05 17:21:27.688 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner [ClassPathMapperScanner.java:166] - No MyBatis mapper was found in '[com.google.blog]' package. Please check your configuration.
2018-02-05 17:21:29.560 [restartedMain] INFO  org.springframework.cloud.context.scope.GenericScope [GenericScope.java:287] - BeanFactory id=4d3d0ce1-74eb-37ee-8abc-a4012d3e2fe0
2018-02-05 17:21:29.612 [restartedMain] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor [AutowiredAnnotationBeanPostProcessor.java:155] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-02-05 17:21:30.106 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:327] - Bean 'org.springframework.cloud.sleuth.annotation.SleuthAnnotationAutoConfiguration' of type [org.springframework.cloud.sleuth.annotation.SleuthAnnotationAutoConfiguration$$EnhancerBySpringCGLIB$$821dcab9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-02-05 17:21:30.827 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:327] - Bean 'sleuthAdvisorConfig' of type [org.springframework.cloud.sleuth.annotation.SleuthAdvisorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-02-05 17:21:30.852 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:327] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$7fb88487] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-02-05 17:21:30.977 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:327] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9bd28784] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-02-05 17:21:31.006 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:327] - Bean 'org.springframework.cloud.sleuth.instrument.web.client.feign.TraceFeignClientAutoConfiguration$FeignBeanPostProcessorConfiguration' of type [org.springframework.cloud.sleuth.instrument.web.client.feign.TraceFeignClientAutoConfiguration$FeignBeanPostProcessorConfiguration$$EnhancerBySpringCGLIB$$bf4a5d4d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-02-05 17:21:31.061 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:327] - Bean 'org.springframework.cloud.sleuth.instrument.async.AsyncDefaultAutoConfiguration' of type [org.springframework.cloud.sleuth.instrument.async.AsyncDefaultAutoConfiguration$$EnhancerBySpringCGLIB$$679c30a6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-02-05 17:21:31.102 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:327] - Bean 'org.springframework.cloud.sleuth.instrument.web.client.TraceWebClientAutoConfiguration' of type [org.springframework.cloud.sleuth.instrument.web.client.TraceWebClientAutoConfiguration$$EnhancerBySpringCGLIB$$2c4b5006] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-02-05 17:21:34.541 [restartedMain] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer [TomcatEmbeddedServletContainer.java:89] - Tomcat initialized with port(s): 5002 (http)
2018-02-05 17:21:34.577 [restartedMain] INFO  org.apache.catalina.core.StandardService [DirectJDKLog.java:180] - Starting service [Tomcat]
2018-02-05 17:21:34.591 [restartedMain] INFO  org.apache.catalina.core.StandardEngine [DirectJDKLog.java:180] - Starting Servlet Engine: Apache Tomcat/8.5.27
2018-02-05 17:21:35.136 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [DirectJDKLog.java:180] - Initializing Spring embedded WebApplicationContext
2018-02-05 17:21:35.137 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader [EmbeddedWebApplicationContext.java:276] - Root WebApplicationContext: initialization completed in 10288 ms
2018-02-05 17:21:37.339 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean [AbstractFilterRegistrationBean.java:258] - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-02-05 17:21:37.340 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean [AbstractFilterRegistrationBean.java:258] - Mapping filter: 'traceFilter' to: [/*]
2018-02-05 17:21:37.340 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean [AbstractFilterRegistrationBean.java:258] - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-02-05 17:21:37.341 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean [AbstractFilterRegistrationBean.java:258] - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-02-05 17:21:37.341 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean [AbstractFilterRegistrationBean.java:258] - Mapping filter: 'requestContextFilter' to: [/*]
2018-02-05 17:21:37.341 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean [ServletRegistrationBean.java:190] - Mapping servlet: 'dispatcherServlet' to [/]
2018-02-05 17:21:39.683 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource [URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
2018-02-05 17:21:39.684 [restartedMain] INFO  com.netflix.config.sources.URLConfigurationSource [URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-02-05 17:21:39.743 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource [URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
2018-02-05 17:21:39.744 [restartedMain] INFO  com.netflix.config.sources.URLConfigurationSource [URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-02-05 17:21:42.970 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter [RequestMappingHandlerAdapter.java:534] - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@31084ab9: startup date [Mon Feb 05 17:21:24 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@1cc8c9f0
2018-02-05 17:21:43.451 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:543] - Mapped "{[/]}" onto public java.lang.String com.google.blog.style.controller.HomeController.index()
2018-02-05 17:21:43.462 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-02-05 17:21:43.462 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-02-05 17:21:44.051 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java:362] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-02-05 17:21:44.052 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java:362] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-02-05 17:21:44.580 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java:362] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-02-05 17:21:48.112 [restartedMain] INFO  org.springframework.cloud.commons.util.InetUtils [InetUtils.java:171] - Cannot determine local hostname
2018-02-05 17:21:49.077 [restartedMain] WARN  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext [AbstractApplicationContext.java:551] - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Tomcat.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.apache.tomcat.jdbc.pool.DataSource]: Factory method 'dataSource' threw exception; nested exception is org.springframework.boot.autoconfigure.jdbc.DataSourceProperties$DataSourceBeanCreationException: Cannot determine embedded database driver class for database type NONE. If you want an embedded database please put a supported one on the classpath. If you have database settings to be loaded from a particular profile you may need to active it (the profiles "dev" are currently active).
2018-02-05 17:21:49.174 [restartedMain] INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory [InstanceInfoFactory.java:71] - Setting initial instance status as: STARTING
2018-02-05 17:21:49.259 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:347] - Initializing Eureka in region us-east-1
2018-02-05 17:21:49.357 [restartedMain] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
2018-02-05 17:21:49.388 [restartedMain] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
2018-02-05 17:21:49.389 [restartedMain] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
2018-02-05 17:21:49.389 [restartedMain] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
2018-02-05 17:21:50.290 [restartedMain] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver [ConfigClusterResolver.java:43] - Resolving eureka endpoints via configuration
2018-02-05 17:21:50.293 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:929] - Disable delta property : false
2018-02-05 17:21:50.294 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:930] - Single vip registry refresh property : null
2018-02-05 17:21:50.299 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:931] - Force full registry fetch : false
2018-02-05 17:21:50.299 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:932] - Application is null : false
2018-02-05 17:21:50.302 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:933] - Registered Applications size is zero : true
2018-02-05 17:21:50.303 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:935] - Application version is -1: true
2018-02-05 17:21:50.304 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:1018] - Getting all instance registry info from the eureka server
2018-02-05 17:21:50.325 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:1027] - The response status is 200
2018-02-05 17:21:50.328 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:1253] - Starting heartbeat executor: renew interval is: 30
2018-02-05 17:21:50.332 [restartedMain] INFO  com.netflix.discovery.InstanceInfoReplicator [InstanceInfoReplicator.java:59] - InstanceInfoReplicator onDemand update allowed rate per min is 4
2018-02-05 17:21:50.370 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:434] - Discovery Client initialized at timestamp 1517822510370 with initial instances count: 1
2018-02-05 17:21:50.453 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:861] - Shutting down DiscoveryClient ...
2018-02-05 17:21:50.454 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:893] - Unregistering ...
2018-02-05 17:21:50.608 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:895] - DiscoveryClient_BLOG/localhost:blog:5002 - deregister  status: 404
2018-02-05 17:21:50.671 [restartedMain] INFO  com.netflix.discovery.DiscoveryClient [DiscoveryClient.java:882] - Completed shut down of DiscoveryClient
2018-02-05 17:21:50.858 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource [URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
2018-02-05 17:21:50.860 [restartedMain] INFO  com.netflix.config.sources.URLConfigurationSource [URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-02-05 17:21:50.889 [restartedMain] INFO  org.apache.catalina.core.StandardService [DirectJDKLog.java:180] - Stopping service [Tomcat]
2018-02-05 17:21:51.126 [restartedMain] INFO  org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer [AutoConfigurationReportLoggingInitializer.java:101] - 

Error starting ApplicationContext. To display the auto-configuration report re-run your application with 'debug' enabled.
2018-02-05 17:21:51.173 [restartedMain] ERROR org.springframework.boot.diagnostics.LoggingFailureAnalysisReporter [LoggingFailureAnalysisReporter.java:42] - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Cannot determine embedded database driver class for database type NONE

Action:

If you want an embedded database please put a supported one on the classpath. If you have database settings to be loaded from a particular profile you may need to active it (the profiles "dev" are currently active).

